Urdu_Idiom,Idiomatic_Sent,Translation_Instruction,Urdu_Sentence_3.5,Urdu_Sentence_4o,3.5_Evaluation_4,4o_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4o
کبھی کبھی دوگنی ۔ بہتر کرو بہتر پاو,I like to go hiking in the mountains now and then to clear my mind.,Translate this sentence to Urdu: 'I like to go hiking in the mountains now and then to clear my mind.',مجھے وقتاً فوقتاً پہاڑوں میں ٹریکنگ کرنا پسند ہے تاکہ میری دماغ صاف ہو جائے۔,مجھے کبھی کبھار پہاڑوں میں پیدل سفر پر جانا پسند ہے تاکہ میرا ذہن صاف ہو سکے۔,3.0,3.0,2.0,3.0
بغل میں چھری مُنہ میں رام رام,"Despite his friendly demeanor, everyone soon realized he was a wolf in sheep's clothing.","Translate this sentence to Urdu: 'Despite his friendly demeanor, everyone soon realized he was a wolf in sheep's clothing.'","""اس کے دوستانہ سلوک کے باوجود، سب جلد ہی سمجھ گئے کہ وہ بھیڑیا تھا جو بھیڑیوں کی کھال میں تھا۔""",'دوستانہ رویے کے باوجود، جلد ہی سب نے محسوس کیا کہ وہ بھیڑ کی کھال میں بھیڑیا ہے۔',3.0,3.0,1.0,3.0
منافق,"Despite his friendly demeanor, many suspected he was a wolf in sheep's clothing, hiding his true intentions.","Translate this sentence to Urdu: 'Despite his friendly demeanor, many suspected he was a wolf in sheep's clothing, hiding his true intentions.'",اس کے دوستانہ انداز کے باوجود، بہت سے لوگوں کو شک تھا کہ وہ بھیڑیا بھید کے جلے ہوئے کپڑے میں چھپا ہوا ہے، اپنے اصل منصوبوں کو چھپا کر۔,اُس کے دوستانہ رویے کے باوجود، بہت سے لوگوں کو شک تھا کہ وہ بھیڑ کی کھال میں بھیڑیا ہے، جو اپنی حقیقی نیتیں چھپا رہا ہے۔,3.0,3.0,1.0,3.0
فرشتہ کے روپ میں بھیڑیا,"Despite his friendly demeanor, many soon realized he was a wolf in sheep's clothing, manipulating everyone for his own gain.","Translate this sentence to Urdu: 'Despite his friendly demeanor, many soon realized he was a wolf in sheep's clothing, manipulating everyone for his own gain.'",اس کے دوستانہ رویہ کے باوجود بہت سے لوگ جلد ہی معلوم کر گۓ کہ وہ بھیڑیا تھا جو شیر کی خوشبو کی بچھاوٹ کر رہا تھا، اور ہر کسی کو اپنی فائدے کیلئے استعمال کر رہا تھا۔,حالانکہ اس کا دوستانہ رویہ تھا، بہت جلد لوگوں نے سمجھ لیا کہ وہ ایک بھیڑ کی کھال میں بھیڑیا ہے، جو سب کو اپنے فائدے کے لیے استعمال کر رہا تھا۔,1.0,3.0,1.0,3.0
ہاتھ کا دیا ہی کام آتا ہے ۔ نیکی کبھی نہ کبھی کام آتی ہے,"Before volunteering at the local shelter, John remembered that charity begins at home and helped his elderly neighbor with her groceries.","Translate this sentence to Urdu: 'Before volunteering at the local shelter, John remembered that charity begins at home and helped his elderly neighbor with her groceries.'",'جان نے مقامی شیلٹر میں خود آزمائی کرنے سے پہلے یاد کیا کہ انصاف گھر سے شروع ہوتا ہے اور اپنی بوڑھی پڑوسن کی مدد کی گروسری لے کر۔',"مقامی پناہ گاہ میں رضاکارانہ خدمات سے پہلے، جان کو یاد آیا کہ ""چرٹی بیگنز ایٹ ہوم"" اور اس نے اپنے بوڑھے پڑوسی کی گروسری میں مدد کی۔",2.0,3.0,1.0,1.0
اوّل خویش بعد درویش,"Before volunteering abroad, she reminded herself that charity begins at home and decided to help her local community first.","Translate this sentence to Urdu: 'Before volunteering abroad, she reminded herself that charity begins at home and decided to help her local community first.'",غیرتی کاموں میں شریک ہونے سے پہلے، اس نے خود کو یاد دلایا کہ صدقہ گھر سے شروع ہوتا ہے اور فیصلہ کیا کہ پہلے اپنے مقامی برادری میں مدد کرے۔,"بیرون ملک رضاکارانہ خدمات انجام دینے سے پہلے، اس نے خود کو یاد دلایا کہ ""چراغ تلے اندھیرا"" اور پہلے اپنی مقامی کمیونٹی کی مدد کرنے کا فیصلہ کیا۔",3.0,2.0,3.0,1.0
وقتی طور پر,"For the time being, we'll have to postpone the meeting until we get more information.","Translate this sentence to Urdu: 'For the time being, we'll have to postpone the meeting until we get more information.'",فی الوقت کے لیے، ہمیں میٹنگ مؤخر کرنی پڑے گی جب تک ہمیں زیادہ معلومات حاصل نہ ہوں۔,'فی الحال، ہمیں مزید معلومات ملنے تک ملاقات کو ملتوی کرنا پڑے گا۔',3.0,3.0,1.0,1.0
مستقل ملکیت کے طور پر ہمیشہ کے لیے,"After winning the chess tournament, she decided to keep the trophy for keeps.","Translate this sentence to Urdu: 'After winning the chess tournament, she decided to keep the trophy for keeps.'",چیس ٹورنامنٹ جیتنے کے بعد، اس نے فیصلہ کیا کہ ٹرافی کو ہمیشہ کے لئے رکھیں۔,شطرنج کا ٹورنامنٹ جیتنے کے بعد، اس نے فیصلہ کیا کہ وہ ٹرافی ہمیشہ کے لیے اپنے پاس رکھے گی۔,3.0,3.0,1.0,3.0
کبھی کبھار,The kids write to me from time to time letting me know of their latest adventures .,Translate this sentence to Urdu: 'The kids write to me from time to time letting me know of their latest adventures .',بچے مجھے وقت کے فاصلے پر لکھتے ہیں اور مجھے اپنے تازہ مہمومیات کی خبر دیتے ہیں۔,بچے مجھے وقتاً فوقتاً خط لکھ کر اپنی تازہ ترین مہمات کے بارے میں بتاتے ہیں۔,3.0,3.0,1.0,3.0
گھی شکر ہونا ۔ شیرو شکر ہونا,The two business partners worked hand in glove to ensure their company's success.,Translate this sentence to Urdu: 'The two business partners worked hand in glove to ensure their company's success.',دو کاروباری شراکت دار ہاتھ میں ہاتھ ڈال کر اپنی کمپنی کی کامیابی کو یقینی بنایا۔,دونوں کاروباری شراکت داروں نے اپنی کمپنی کی کامیابی کو یقینی بنانے کے لیے ہاتھ میں دستانہ ڈال کر کام کیا۔,2.0,3.0,3.0,1.0
تگنی کا ناچ نچانا,"Whenever something goes wrong in the office, everyone seems quick to point the finger at me.","Translate this sentence to Urdu: 'Whenever something goes wrong in the office, everyone seems quick to point the finger at me.'",جب بھی دفتر میں کچھ غلط ہوتا ہے، سب میری طرف انگلی اٹھانے لگتے ہیں۔,جب بھی دفتر میں کچھ غلط ہوتا ہے، تو سب کے سب فوراً مجھ پر انگلی اٹھاتے ہیں۔,3.0,3.0,3.0,3.0
گہرے دوست,The two companies worked hand in glove to dominate the market with their innovative products.,Translate this sentence to Urdu: 'The two companies worked hand in glove to dominate the market with their innovative products.',دونوں کمپنیاں ایک ساتھ کام کرتی رہیں تھیں تاکہ ان کے نوآراپرودکٹس سے مارکیٹ پر حکومت کر سکیں۔,'دونوں کمپنیوں نے اپنے جدید مصنوعات کے ساتھ مارکیٹ پر غلبہ پانے کے لیے مل کر کام کیا۔',2.0,2.0,1.0,1.0
گھی شکر ہونا ۔ شیرو شکر ہونا,The two companies worked hand in glove to bring the innovative product to market.,Translate this sentence to Urdu: 'The two companies worked hand in glove to bring the innovative product to market.',دو شرکتیں مشترکہ کام کرکے نوآور مصنوعات کو بازار میں لانے میں کامیاب رہیں۔,دونوں کمپنیوں نے جدید پروڈکٹ کو مارکیٹ میں لانے کے لیے ہاتھ میں دستانہ ڈال کر کام کیا۔,2.0,3.0,2.0,1.0
ہاتھوں ہاتھوں لینا,Trust and communication go hand in hand in any successful relationship.,Translate this sentence to Urdu: 'Trust and communication go hand in hand in any successful relationship.',بھروسہ اور تبادلہ خیال کسی بھی کامیاب تعلق میں ہاتھ میں ہاتھ ہوتے ہیں۔,کسی بھی کامیاب تعلق میں اعتماد اور بات چیت ساتھ ساتھ چلتے ہیں۔,3.0,3.0,2.0,3.0
کام پیارانہ کہ چام,"He may not look like a movie star, but he always helps those in need, proving that handsome is as handsome does.","Translate this sentence to Urdu: 'He may not look like a movie star, but he always helps those in need, proving that handsome is as handsome does.'",وہ فلم سٹار کی طرح نہیں دکھتا، مگر وہ ہمیشہ محتاجوں کی مدد کرتا ہے، جو ثابت کرتا ہے کہ خوبصورتی عمل سے آتی ہے۔,وہ فلمی ستارے کی طرح نظر نہ آتا ہو، لیکن وہ ہمیشہ ضرورت مندوں کی مدد کرتا ہے، ثابت کرتا ہے کہ اصل خوبصورتی عمل میں ہے۔,3.0,3.0,3.0,3.0
چمٹنا ۔ لمبا کرنا ۔ انتظار کرنا,The child hung on to her mother and would not let go of her hands .,Translate this sentence to Urdu: 'The child hung on to her mother and would not let go of her hands .',بچہ اپنی ماں کے ساتھ چپکے رہا اور اس کے ہاتھوں کو چھوڑنے کا انکار نہیں کرتا تھا۔,بچے نے اپنی ماں کو پکڑ لیا اور اس کے ہاتھ نہیں چھوڑے۔,3.0,3.0,1.0,1.0
معطل کرنا ۔ طویل کرنا,If you do not stop complaining then I will hang up on you .,Translate this sentence to Urdu: 'If you do not stop complaining then I will hang up on you .',اگر تم شکایت کرنا بند نہ کرو تو میں تمہارے ساتھ بات کرنا منسوخ کردوں گا۔,اگر تم نے شکایت کرنا نہ چھوڑا تو میں فون کاٹ دوں گا۔,3.0,3.0,1.0,3.0
مشکل مسئلہ,Using a full security sweep for a minor software update seems like using a sledgehammer to crack a nut.,Translate this sentence to Urdu: 'Using a full security sweep for a minor software update seems like using a sledgehammer to crack a nut.',ایک چھوٹے سافٹویئر اپ ڈیٹ کے لئے پوری سیکورٹی چیک کرانا تو ناچیز مسئلے کا حل کرنے کے لئے بیگانہ استعمال کرنے جیسا ہے۔,'معمولی سافٹ ویئر اپڈیٹ کے لیے مکمل سیکیورٹی سوئپ کا استعمال ایسا لگتا ہے جیسے بادام توڑنے کے لیے ہتھوڑا استعمال کرنا۔',1.0,3.0,2.0,3.0
جلدی کا کام شیطان کا,"Try not to rush through things , even though you are in a hurry because haste makes waste .","Translate this sentence to Urdu: 'Try not to rush through things , even though you are in a hurry because haste makes waste .'","""کوشش کریں کہ چیزوں کو جلدی میں نہ پورا کریں، چاہے آپ جلدی میں ہوں کیونکہ جلدی بازار وقت ضائع کرتی ہے۔""",چیزوں کو جلدی سے کرنے کی کوشش نہ کریں، چاہے آپ جلدی میں ہوں کیونکہ جلد بازی بربادی کا باعث بنتی ہے۔,2.0,3.0,1.0,3.0
بدمعاش,I take my hat off to her for managing to complete the project ahead of schedule despite all the challenges.,Translate this sentence to Urdu: 'I take my hat off to her for managing to complete the project ahead of schedule despite all the challenges.',میں ان کا قدر کرتا ہوں جنہوں نے تمام چیلنجز کے باوجود پروجیکٹ کو پہلے سے مکمل کر لیا۔,'میں اس کو سلام کرتا ہوں کہ اس نے تمام مشکلات کے باوجود منصوبہ وقت سے پہلے مکمل کر لیا۔',2.0,3.0,1.0,2.0
بحث کرنا / بات کرنا,"After the meeting, the two colleagues had words about the new project proposal.","Translate this sentence to Urdu: 'After the meeting, the two colleagues had words about the new project proposal.'",ملاقات کے بعد، دو ساتھیوں نے نئی پروجیکٹ کی تجویز کے بارے میں باتیں کیں۔,میٹنگ کے بعد، دونوں ساتھیوں میں نئے منصوبے کی تجویز پر بحث ہوئی۔,3.0,3.0,1.0,2.0
ختم کرنا,Why do n't you just take a hike ?,Translate this sentence to Urdu: 'Why do n't you just take a hike ?',تم بس چلے جاؤ کیوں نہیں؟,کیوں نہ تم یہاں سے دفع ہو جاؤ؟,3.0,3.0,1.0,3.0
موزوں نہ ہونا,"Whenever I try to fix anything around the house, I feel like I'm all thumbs.","Translate this sentence to Urdu: 'Whenever I try to fix anything around the house, I feel like I'm all thumbs.'",جب بھی میں گھر کے کچھ ٹھیک کرنے کی کوشش کرتا ہوں، میرا احساس ہوتا ہے کہ میں پیدل ہوں۔,جب بھی میں گھر کے ارد گرد کچھ ٹھیک کرنے کی کوشش کرتا ہوں، مجھے لگتا ہے کہ میرے ہاتھ پاؤں پھول جاتے ہیں۔,1.0,2.0,1.0,3.0
گھبرانا ۔ خوف زدہ ہونا,"After seeing the stray dog shivering in the cold, she decided to have a heart and bring it home.","Translate this sentence to Urdu: 'After seeing the stray dog shivering in the cold, she decided to have a heart and bring it home.'",سردی میں اکیلے ہوئے کتے کو ڈر کر تلخ کے بعد، اس نے دل کی بات سنی اور اسے گھر لے آیا۔,سردی میں کانپتے ہوئے آوارہ کتے کو دیکھنے کے بعد، اس نے رحم کر کے اسے گھر لے جانے کا فیصلہ کیا۔,2.0,3.0,1.0,3.0
ُونچی آواز کا بیہودہ قہقہ قہقہ,"Whenever he's asked to make a decision, he tends to hum and haw for ages before finally coming to a conclusion.","Translate this sentence to Urdu: 'Whenever he's asked to make a decision, he tends to hum and haw for ages before finally coming to a conclusion.'",جب بھی اس سے فیصلہ کرنے کے لئے کہا جاتا ہے ، وہ عموماً بہت دیر تک ہم ہنس کرتا ہے پھر آخر کار نتیجہ تک پہنچتا ہے۔,جب بھی اُس سے کوئی فیصلہ کرنے کو کہا جاتا ہے، وہ کافی دیر تک ہچکچاتا اور ٹالتا رہتا ہے، پھر جا کر آخرکار کسی نتیجے پر پہنچتا ہے۔,2.0,3.0,2.0,3.0
