Idiomatic_Sent,Original_Idiom,Original_Meaning,Translation_Instruction,Mandarin_Sentence_3.5,Mandarin_Sentence_4o,3.5_Evaluation_4,4o_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4o
"Their marriage has been in troubled waters for a few years , so their divorce seemed inevitable to a lot of us .",troubled waters,a difficult or chaotic situation,"Translate this sentence to Chinese: 'Their marriage has been in troubled waters for a few years , so their divorce seemed inevitable to a lot of us .'",他们的婚姻已经陷入了困境几年了，所以很多人认为他们的离婚是不可避免的。,他们的婚姻已经陷入困境好几年了，所以对我们很多人来说，他们的离婚似乎是不可避免的。,3,3.0,3,3
"Oh well - like father , like son I suppose .",like father like son,"Children often resemble their parents in appearance, behavior, or character.","Translate this sentence to Chinese: 'Oh well - like father , like son I suppose .'",好吧 - 我猜像父亲一样，像儿子一样。,哦，好吧——我想这就是所谓的有其父必有其子。,1,3.0,1,3
I am not opening a can of worms by answering that question .,can of worms,"a complicated, difficult, or contentious situation or problem that is more troublesome than it appears initially",Translate this sentence to Chinese: 'I am not opening a can of worms by answering that question .',我回答这个问题并不是在掀开潘多拉的箱子。,我不会回答那个问题，因为那样会引起更多麻烦。,3,3.0,3,3
"Armed with a knife , the deranged man ran amok at the generally peaceful neighbourhood .",run amok (amuck),"to behave uncontrollably and with wild, unrestrained behavior","Translate this sentence to Chinese: 'Armed with a knife , the deranged man ran amok at the generally peaceful neighbourhood .'",持刀的疯狂男子在通常平静的社区狂奔。,手持刀具，这名疯狂的男子在一向平静的社区里横冲直撞。,2,3.0,1,3
Lolita has her head in the clouds if she thinks she will win the tournament .,head in the clouds,to be daydreaming or not paying attention to reality,Translate this sentence to Chinese: 'Lolita has her head in the clouds if she thinks she will win the tournament .',洛丽塔如果认为她会赢得比赛，那她是异想天开。,如果洛丽塔认为她会赢得比赛，那她简直是在做白日梦。,3,3.0,3,3
"We have hospital beds reserved for pneumonia patients , cancer patients , pregnant females and twenty percent reservation in case of an epidemic year-round .",year-round,"continuing throughout the entire year, without interruption or seasonal changes","Translate this sentence to Chinese: 'We have hospital beds reserved for pneumonia patients , cancer patients , pregnant females and twenty percent reservation in case of an epidemic year-round .'",我们为肺炎患者、癌症患者、孕妇和每年发生流行病时预留百分之二十的医院床位。,我们为肺炎患者、癌症患者、孕妇预留了病床，并全年预留了20%的病床以应对流行病。,3,3.0,3,3
When my parents go out of town I take care of their house .,take care,to be cautious or careful; to look after or protect someone or something,Translate this sentence to Chinese: 'When my parents go out of town I take care of their house .',当我父母离开镇子时，我照顾他们的房子。,当我父母出城时，我会照看他们的房子。,3,3.0,3,3
They were a mismatching couple ; it was like apples and oranges .,apples to oranges,comparing two things that are completely different and cannot be compared,Translate this sentence to Chinese: 'They were a mismatching couple ; it was like apples and oranges .',他们是一对不合适的情侣；就像苹果和橙子一样。,他们是格格不入的一对，就像苹果和橙子一样。,2,3.0,2,3
I always tell my clients to keep their hair on when you are sitting in court .,keep your hair on,to remain calm or composed,Translate this sentence to Chinese: 'I always tell my clients to keep their hair on when you are sitting in court .',我总是告诉我的客户，在法庭上坐着时要保持冷静。,我总是告诉我的客户在法庭上要保持冷静。,3,3.0,3,3
The story is in the can .,in the can,completed or finished,Translate this sentence to Chinese: 'The story is in the can .',这个故事已经完成了。,故事已经完成了。,3,3.0,1,1
"You 're not very in touch with the latest political news , are you ?",in touch,having communication or contact with someone or being up to date with current information or trends,"Translate this sentence to Chinese: 'You 're not very in touch with the latest political news , are you ?'",你对最新政治新闻不太了解，对吗？,你对最新的政治新闻不太了解，是吗？,3,3.0,3,3
"This is the best macaroni and cheese in the world , never mind the town .",never mind,to disregard or dismiss; to not pay attention or give importance to something,"Translate this sentence to Chinese: 'This is the best macaroni and cheese in the world , never mind the town .'",这是世界上最好的通心粉和奶酪，不用管小镇。,这是世界上最好的通心粉奶酪，更不用说这个镇上了。,2,3.0,1,2
She came out of the closet quite late herself but now speaks about how others should make the move much sooner in their lives .,out of the closet,"to openly reveal or acknowledge one's true beliefs, identity, or preferences, especially in regards to sexual orientation",Translate this sentence to Chinese: 'She came out of the closet quite late herself but now speaks about how others should make the move much sooner in their lives .',她自己很晚才走出了柜子，但现在却说别人应该更早地在他们的生活中跨出这一步。,她自己出柜得很晚，但现在却谈论别人应该更早地做出这个决定。,3,3.0,1,3
I thought about buying you the groceries for the week because it stood to reason that you will need it while I am away .,stands to reason,to be logical or reasonable; to be expected or obvious,Translate this sentence to Chinese: 'I thought about buying you the groceries for the week because it stood to reason that you will need it while I am away .',我考虑为你买一周的杂货，因为很明显当我不在的时候你会需要它。,我考虑过给你买一周的杂货，因为理所当然你在我不在的时候会需要它。,3,3.0,1,2
He needs to understand that his daughters are now teenagers and He ca n't just harp on about rules now .,harp on,"to persistently dwell on or discuss a particular subject, often in a critical or complaining manner",Translate this sentence to Chinese: 'He needs to understand that his daughters are now teenagers and He ca n't just harp on about rules now .',他需要明白他的女儿现在已经是青少年了，他现在不能只是唠叨规则。,他需要明白他的女儿们现在已经是青少年了，他不能再一直唠叨规则了。,3,3.0,2,3
