Idiomatic_Sent,Original_Idiom,Original_Meaning,ai_generated_idioms,chinese_idiom,Translation_Instruction,Mandarin_Sentence_3.5,Mandarin_Sentence_4o,3.5_Evaluation_4,4o_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4o
"He did not want to say no to either of them , so he was just sitting on the fence .",sit on the fence,to remain neutral or undecided in a dispute or conflict,"```json
{
  ""English idiom"": ""sit on the fence"",
  ""English definition"": ""To remain neutral or undecided in a situation where making a decision or taking a side is required."",
  ""Chinese idiom 1"": ""骑墙观望"",
  ""Chinese idiom 2"": ""左右为难"",
  ""Chinese idiom 3"": """"
}
```",骑墙观望,"'sit on the fence' means '骑墙观望'. Given the above knowledge, translate the following sentence to Chinese: 'He did not want to say no to either of them , so he was just sitting on the fence .'",他不想拒绝他们中的任何一个，所以他只是骑墙观望。,他不想对任何一方说不，所以他只是在骑墙观望。,3,3,3,3
"You ca n't sit on the fence any longer , you need to make up your mind .",sit on the fence,to remain neutral or undecided in a dispute or conflict,"```json
{
  ""English idiom"": ""sit on the fence"",
  ""English definition"": ""To remain neutral or undecided in a situation where making a decision or taking a side is required."",
  ""Chinese idiom 1"": ""骑墙观望"",
  ""Chinese idiom 2"": ""左右为难"",
  ""Chinese idiom 3"": """"
}
```",骑墙观望,"'sit on the fence' means '骑墙观望'. Given the above knowledge, translate the following sentence to Chinese: 'You ca n't sit on the fence any longer , you need to make up your mind .'",你不能再继续骑墙观望了，你需要做出决定。,你不能再骑墙观望了，你需要做出决定。,3,3,3,3
"I like to bide my time and get the cake out at the stroke of midnight , every year on my wife 's birthday .",bide time,to wait patiently for the right moment or opportunity to take action,"{
  ""English idiom"": ""bide time"",
  ""English definition"": ""To wait patiently for a good opportunity."",
  ""Chinese idiom 1"": ""韬光养晦"",
  ""Chinese idiom 2"": ""静观其变"",
  ""Chinese idiom 3"": ""养精蓄锐""
}",静观其变,"'bide time' means '静观其变'. Given the above knowledge, translate the following sentence to Chinese: 'I like to bide my time and get the cake out at the stroke of midnight , every year on my wife 's birthday .'",我喜欢静观其变，每年在我妻子的生日上午夜整点拿出蛋糕。,我喜欢静观其变，然后每年在我妻子生日时，在午夜的钟声敲响时把蛋糕拿出来。,2,3,2,3
She has amazing sixth sense and is almost never wrong about such predictions .,sixth sense,a special ability to sense or perceive something that is not immediately apparent or obvious,"{
  ""English idiom"": ""sixth sense"",
  ""English definition"": ""A special ability to know or feel things that are not perceived by the usual five senses."",
  ""Chinese idiom 1"": ""第六感"",
  ""Chinese idiom 2"": ""未卜先知"",
  ""Chinese idiom 3"": ""心有灵犀""
}",第六感,"'sixth sense' means '第六感'. Given the above knowledge, translate the following sentence to Chinese: 'She has amazing sixth sense and is almost never wrong about such predictions .'",她拥有惊人的第六感，几乎从不在这类预测上出错。,她有惊人的第六感，对于这种预测几乎从不出错。,3,3,3,3
The teacher did not mean it in a bad way but the student felt insulted at being asked to explain anyway .,in a bad way,experiencing difficulties or problems; in a poor or unhealthy condition,"{
  ""English idiom"": ""in a bad way"",
  ""English definition"": ""In poor condition or health; in trouble or difficulty"",
  ""Chinese idiom 1"": ""岌岌可危"",
  ""Chinese idiom 2"": ""水深火热"",
  ""Chinese idiom 3"": ""举步维艰""
}",岌岌可危,"'in a bad way' means '岌岌可危'. Given the above knowledge, translate the following sentence to Chinese: 'The teacher did not mean it in a bad way but the student felt insulted at being asked to explain anyway .'",老师并不是出于恶意，但学生还是觉得被要求解释很冒犯。,老师并不是恶意的，但学生还是对被要求解释感到侮辱。,3,3,2,3
"When the star actress made an appearance , the security team tried to control the crowd ; but they could n't care less and surged ahead to meet her .",couldn't care less,having no interest or concern; not caring at all,"```json
{
  ""English idiom"": ""couldn't care less"",
  ""English definition"": ""To be completely indifferent or uncaring about something or someone."",
  ""Chinese idiom 1"": ""漠不关心"",
  ""Chinese idiom 2"": ""视而不见"",
  ""Chinese idiom 3"": ""无动于衷""
}
```",漠不关心,"'couldn't care less' means '漠不关心'. Given the above knowledge, translate the following sentence to Chinese: 'When the star actress made an appearance , the security team tried to control the crowd ; but they could n't care less and surged ahead to meet her .'",当这位明星女演员出场时，保安团队试图控制人群; 但他们漠不关心地冲了上去见她。,当那位明星女演员出现时，安保团队试图控制人群；但他们漠不关心，还是冲上前去见她。,3,3,1,1
"I know this is difficult work , but we are all in the same boat here , so we 'll have to do this together .",be in the same boat,to be in the same situation or facing the same problems as someone else,"```json
{
  ""English idiom"": ""be in the same boat"",
  ""English definition"": ""To be in a similar situation or facing the same challenges as others."",
  ""Chinese idiom 1"": ""同舟共济"",
  ""Chinese idiom 2"": ""患难与共"",
  ""Chinese idiom 3"": """"
}
```",同舟共济,"'be in the same boat' means '同舟共济'. Given the above knowledge, translate the following sentence to Chinese: 'I know this is difficult work , but we are all in the same boat here , so we 'll have to do this together .'",我知道这是困难的工作，但我们在这里同舟共济，所以我们必须一起完成。,我知道这项工作很难，但是我们都是同舟共济，所以我们必须一起完成。,3,3,3,3
"I never go to the cinemas , I just watch the movies at home as and when I need .",as and when,at the appropriate or necessary time or occasions,"```json
{
  ""English idiom"": ""as and when"",
  ""English definition"": ""At the time when (used to describe something that will be done as soon as it can be, when it is practical or appropriate)"",
  ""Chinese idiom 1"": ""随时随地"",
  ""Chinese idiom 2"": ""见机行事"",
  ""Chinese idiom 3"": ""应时而变""
}
```",随时随地,"'as and when' means '随时随地'. Given the above knowledge, translate the following sentence to Chinese: 'I never go to the cinemas , I just watch the movies at home as and when I need .'",我从不去电影院，只是随时随地在家看电影。,我从不去电影院，我只是随时随地在家看电影。,3,3,3,3
The media had a field day when the news of the minister 's illicit affair was leaked .,field day,"an enjoyable or productive time, often taking advantage of a particular situation or circumstance","```json
{
  ""English idiom"": ""field day"",
  ""English definition"": ""A time of extraordinary pleasure, opportunity, or success, often in a context of unrestrained activity or freedom."",
  ""Chinese idiom 1"": ""如鱼得水"",
  ""Chinese idiom 2"": """",
  ""Chinese idiom 3"": """"
}
```",如鱼得水,"'field day' means '如鱼得水'. Given the above knowledge, translate the following sentence to Chinese: 'The media had a field day when the news of the minister 's illicit affair was leaked .'",媒体在部长不正当恋情曝光时大为兴奋。,当部长的秘密恋情被曝光时，媒体如鱼得水。,2,2,2,1
It used to get on my nerves when I saw someone sleeping during the working hours .,get on nerves,to annoy or irritate someone,"{
  ""English idiom"": ""get on nerves"",
  ""English definition"": ""To irritate, annoy, or bother someone."",
  ""Chinese idiom 1"": ""令人厌烦"",
  ""Chinese idiom 2"": ""讨人嫌"",
  ""Chinese idiom 3"": """"
}",令人厌烦,"'get on nerves' means '令人厌烦'. Given the above knowledge, translate the following sentence to Chinese: 'It used to get on my nerves when I saw someone sleeping during the working hours .'",以前当我看到有人在工作时间睡觉时，会让我心烦。,以前看到有人在工作时间睡觉会让我很烦。,3,3,2,2
"First , they lost the match , and then , to add insult to injury , one of players was suspended for cheating .",add insult to injury,to make a bad situation worse by saying or doing something that is hurtful or offensive,"```json
{
  ""English idiom"": ""add insult to injury"",
  ""English definition"": ""To make a bad situation worse by adding further harm or discomfort."",
  ""Chinese idiom 1"": ""雪上加霜"",
  ""Chinese idiom 2"": ""火上浇油"",
  ""Chinese idiom 3"": ""落井下石""
}
```",雪上加霜,"'add insult to injury' means '雪上加霜'. Given the above knowledge, translate the following sentence to Chinese: 'First , they lost the match , and then , to add insult to injury , one of players was suspended for cheating .'",首先，他们输掉了比赛，然后雪上加霜的是，其中一名球员因作弊被停赛。,首先，他们输了比赛，然后，雪上加霜的是，其中一名队员因作弊被停赛。,3,3,3,3
"He stood at his door , foaming at the mouth , showering expletives at the miscreants who had damaged his lawn .",foam at the mouth,"to express extreme anger, rage, or excitement","```json
{
  ""English idiom"": ""foam at the mouth"",
  ""English definition"": ""To be extremely angry or agitated to the point of irrationality."",
  ""Chinese idiom 1"": ""大发雷霆"",
  ""Chinese idiom 2"": ""怒火中烧"",
  ""Chinese idiom 3"": ""暴跳如雷""
}
```",大发雷霆,"'foam at the mouth' means '大发雷霆'. Given the above knowledge, translate the following sentence to Chinese: 'He stood at his door , foaming at the mouth , showering expletives at the miscreants who had damaged his lawn .'",他站在门口，大发雷霆，对那些破坏了他草坪的恶棍们大骂不止。,他站在门口，大发雷霆，对那些破坏他草坪的不法之徒破口大骂。,3,3,3,3
