Idiomatic_Sent,Original_Idiom,en_meaning,translation_instruction,English_Sentence_3.5,English_Sentence_4o,3.5_Evaluation_4,4o_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4o
文天祥这一次出使，一反以前南宋使节的奴颜脾膝，苟且偷生的态度，捍卫了民族的尊严，表现了宁死不屈的高尚民族气节，谱写了一曲流芳千古的民族正气之歌。,流芳千古,leaving behind a lasting reputation for generations to come,Translate this sentence to English: '文天祥这一次出使，一反以前南宋使节的奴颜脾膝，苟且偷生的态度，捍卫了民族的尊严，表现了宁死不屈的高尚民族气节，谱写了一曲流芳千古的民族正气之歌。',"This time, when Wen Tianxiang went on a mission, he reversed the previous submissive and cowardly attitude of the Southern Song envoys, defended the national dignity, demonstrated the noble national spirit of preferring death to surrender, and composed a song of eternal national righteousness.","This time, when Wen Tianxiang was sent on a diplomatic mission, he completely broke away from the previous Southern Song envoys' servile and compromising attitude, defended the nation's dignity, and demonstrated the noble spirit of preferring death over dishonor, creating an everlasting anthem of national integrity.",3,3,2,3
公安干警布下天罗地网，准备将犯罪分子一网打尽。,一网打尽,to capture or solve everything in one fell swoop,Translate this sentence to English: '公安干警布下天罗地网，准备将犯罪分子一网打尽。',The police officers have set up a dragnet and are prepared to capture all the criminals in one fell swoop.,"""The public security officers set up an inescapable net, preparing to capture all the criminals in one sweep.""",3,3,3,3
诚心不曾感天动地，誓言没有惊天动地，爱情没有欢天喜地，人生不求经天纬地，只想和你谈天说地，哪怕经历冰天雪地，你嫁给我谢天谢地，和你一起写下幸福的铺天盖地。,谈天说地,to engage in casual conversation about various topics,Translate this sentence to English: '诚心不曾感天动地，誓言没有惊天动地，爱情没有欢天喜地，人生不求经天纬地，只想和你谈天说地，哪怕经历冰天雪地，你嫁给我谢天谢地，和你一起写下幸福的铺天盖地。',"Sincerely didn't move heaven and earth, vows didn't shake the world, love didn't make the heavens rejoice, life doesn't aim to reach the ends of the earth, just want to chat with you, even if we experience harsh conditions, I'll be grateful if you marry me, and together we'll create overwhelming happiness.","""Sincere intentions never moved heaven and earth, vows were not earth-shattering, love was not filled with immense joy, life does not seek to accomplish great deeds, I only want to chat with you about everything, even if we go through freezing cold, I would thank heaven and earth if you marry me, and together with you, write a story of overwhelming happiness.""",2,3,2,3
我们也把“宁为鸡口，无为牛后”简称为“鸡口牛后”、“瓜田不纳履，李下不整冠”为“瓜田李下”等等。,鸡口牛后,To put the cart before the horse; getting things in the wrong order or having priorities mixed up,Translate this sentence to English: '我们也把“宁为鸡口，无为牛后”简称为“鸡口牛后”、“瓜田不纳履，李下不整冠”为“瓜田李下”等等。',"We also refer to ""宁为鸡口，无为牛后"" as ""鸡口牛后"" and ""瓜田不纳履，李下不整冠"" as ""瓜田李下"", and so on.","We also abbreviate ""宁为鸡口，无为牛后"" as ""鸡口牛后"" and ""瓜田不纳履，李下不整冠"" as ""瓜田李下"", etc.",1,1,1,1
华北大平原上捷报频传，几个大油田相继建成。,捷报频传,receiving frequent and rapid good news,Translate this sentence to English: '华北大平原上捷报频传，几个大油田相继建成。',"On the North China Plain, there have been frequent reports of success as several major oil fields are successively completed.","""Good news keeps coming from the North China Plain, with several major oil fields being completed one after another.""",3,3,2,3
人说情歌总是老的好，走遍天涯忘不了。我说情人却是老的好，曾经沧海桑田分不了。 #吕方#,沧海桑田,drastic changes over time; a completely different situation or environment,Translate this sentence to English: '人说情歌总是老的好，走遍天涯忘不了。我说情人却是老的好，曾经沧海桑田分不了。 #吕方#',"People say old love songs are always the best, unforgettable no matter where you go. I say old lovers are the best, having experienced countless changes that cannot be separated. #LüFang#","""People say old love songs are the best, unforgettable no matter where you go. I say old lovers are the best, undivided despite the changes over time. #LuiFong#""",3,3,2,2
群臣们当然一片赞美之词，什么经天纬地，旷世奇才，德才兼备，空前绝后。,空前绝后,unprecedented and unparalleled,Translate this sentence to English: '群臣们当然一片赞美之词，什么经天纬地，旷世奇才，德才兼备，空前绝后。',"The courtiers naturally showered him with praise, calling him a genius who defies comparison.","The courtiers naturally showered him with praise, calling him a genius of extraordinary talent, a rare and unparalleled figure, possessing both virtue and ability, unprecedented and unmatched.",2,3,1,3
别总是埋怨自己生不逢时，你能不能认真地想一想，过去自己的工作到底干得怎么样?,生不逢时,being born in the wrong era; refers to feeling out of place or unlucky due to unfavorable circumstances,Translate this sentence to English: '别总是埋怨自己生不逢时，你能不能认真地想一想，过去自己的工作到底干得怎么样?',"Don't always blame yourself for being born at the wrong time, can you seriously think about how well you have done your past work?","""Stop always complaining about being born at the wrong time; can you seriously think about how well you've actually done your work in the past?""",3,3,3,3
你是个妙不可言的女人，雷蒙娜。,妙不可言,indescribably wonderful; too marvelous to put into words,Translate this sentence to English: '你是个妙不可言的女人，雷蒙娜。',"You are an indescribable woman, Ramona.","""You are an indescribably wonderful woman, Ramona.""",3,3,1,3
1914至1915年，北洋军阀气焰万丈，腐恶的政治势力好象安如泰山了。,安如泰山,as safe and secure as Mount Tai,Translate this sentence to English: '1914至1915年，北洋军阀气焰万丈，腐恶的政治势力好象安如泰山了。',"From 1914 to 1915, the Beiyang warlords were haughty and corrupt political forces seemed as stable as Mount Tai.","""From 1914 to 1915, the arrogance of the Beiyang warlords was overwhelming, and the corrupt political forces seemed as stable as Mount Tai.""",3,3,3,3
多年来，我始终奉行严以律己、宽以待人的工作作风，与领导与同事和睦相处，热心服务集体、服务他人，在群众中有较高的威信，工作成绩也因此而较为出色。,和睦相处,living in harmony and getting along well with each other,Translate this sentence to English: '多年来，我始终奉行严以律己、宽以待人的工作作风，与领导与同事和睦相处，热心服务集体、服务他人，在群众中有较高的威信，工作成绩也因此而较为出色。',"Over the years, I have always adhered to a strict self-discipline, generous treatment of others work style, got along harmoniously with leaders and colleagues, enthusiastically served the collective and others, enjoyed high prestige among the masses, and achieved outstanding work performance as a result.","For many years, I have always adhered to the work style of being strict with myself and lenient with others, getting along harmoniously with leaders and colleagues, enthusiastically serving the collective and others, earning a high level of respect among the masses, and achieving outstanding work performance as a result.",3,3,1,2
