id,idiom,en_meaning,zh_meaning,ja_meaning
212,不郎不秀,neither good nor bad; average; mediocre,形容外貌普通而没有特点,普通の人、何の特別な才能もない
213,不了了之,to leave a matter unresolved,指事情没有得到圆满解决，而只是草率地结束了,問題を放置する
214,不吝指教,not hesitating to offer advice or suggestions,愿意毫不保留地给予指点、建议。形容对别人很热心，乐于给予帮助。,遠慮なく助言をいただく
215,不露声色,not showing any expression or emotion on the surface; hiding one's true feelings or intentions,不表现出内心的真实感受或意图,感情や意思を表に出さず、内面を隠すこと。また、冷静であること。
216,不落窠臼,"""thinking outside the box"" or ""refusing to be bound by conventions""",不受束缚，不拘泥于传统；也指不墨守成规，不拘泥于一成不变的做法,型にはまらない
217,不伦不类,"neither fish nor fowl; neither one thing nor another; out of place;  neither classifiable, nor are they loosely associated with any specific category; miscellanea",不符合任何规范或标准，没有明确的归类或定位,普遍的な規則や基準に合わないこと。一般的なカテゴリーや分類に適応しない。
218,不苟言笑,not speaking or laughing casually or without thought; being serious and cautious in speech and behavior,形容说话、笑容不随便、不马虎,表面的な笑顔や言葉遣いを厳密に守らない
219,不甘后人,not willing to be surpassed by others,形容不满意自己的现状，不愿意被后来的人超过,後世に引けを取りたくないと思う
220,不甘示弱,refusing to show weakness or to be inferior,不愿意表现得比别人差，要向别人证明自己的实力,負けじと抵抗する、自分の弱さを示さない
221,不敢越雷池一步,not daring to take a single step beyond the boundaries or rules; also refers to being cautious and not taking unnecessary risks,因对某种力量害怕，所以不敢冒险,雷池を越えることができないほど非常に慎重で慎重な行動をとること。
222,不过尔尔,mediocre; average; nothing special,形容言语态度不够真诚或重要意义不大,言ってもあまりない
223,不管三七二十一,regardless of the consequences or circumstances; without considering the details,不论是非对错，都不去管辖，也不过问,いかなる状況でも、自分の責任や困難を無視し、無闇に行動する
224,不共戴天,cannot coexist or tolerate each other,形容仇恨深，无法共存。,絶対に一緒にいられない、徹底的に不和である
225,不攻自破,defeat oneself without any external effort,比喻自己的言行或事业本身存在弱点或错误，不需要他人攻击就会自己垮台,自分自身の行動や言動によって自壊する
226,不可偏废,"not to neglect or abandon, to give equal attention or importance to all aspects",Not neglecting any aspect; not favoring one over the other.,片寄らず均等に扱うこと。また、何事もおろそかにせず全てを大切にすること。
227,不可磨灭,"indestructible, unable to be erased or forgotten",形容某种品质或特点无法被消除或改变,消し去ることのできない、消えない、忘れられない。
228,不可多得,"rare and precious, hard to come by",形容非常稀少或难得到的事物，非常珍贵,非常に珍しいもので、得られることができない
229,不可同日而语,"""cannot be mentioned in the same breath"" or ""cannot be compared""",相差太远，不能放在一起比较。形容差距极大,比較することができないほどに異なるものである
230,不可理喻,"unreasonable, unable to be reasoned with",不讲道理，无法理解或接受,理解できない
231,不可开交,to be extremely intense or chaotic; also refers to a situation that cannot be resolved or settled,形容情况紧张或争斗激烈到了极点,話し合いや交渉が出来ない状態である
232,不可救药,"a hopeless situation or person, beyond any help or cure",形容情况极为严重，无法挽回或治愈,救いようのない状態で、どんな手を使っても改善ができない
233,不可企及,"unattainable, beyond reach",形容超过自己能力范围，无法达到或实现,到達不可能なレベルにある
234,不可终日,unable to endure or bear for another day,无法忍受或持续下去,一日も長く過ごせない。すぐに解決しなければならない状況。
235,不可收拾,"out of control, beyond repair, unable to be managed",事情变得非常混乱或困难，无法恢复或整顿,取り返しのつかない状態になる、管理やコントロールが不可能な状況になる
236,不可胜数,"countless, too numerous to be counted",形容数量极多，数不清,数え切れないほど多い、計り知れないほど多い
237,不可思议,unbelievable,难以理解或想象的,信じがたい、理解しにくい
238,不可一世,arrogant or thinking oneself to be superior to others,自以为了不起，傲慢自大,自分だけが最も優れていて他の人には敵わないと思っている
239,不可言状,"indescribable, beyond words",形容事物或情况非常糟糕，无法用语言描述或表达,言葉では言い表せないほどの驚くべき状態
