id,idiom,en_meaning,zh_meaning,ja_meaning
224,apples and oranges,comparing or discussing things that are completely different and cannot be compared,完全不同的事物，无法比较,異なる性質や要素を比較しようとすることができないもの
225,apples and pears,slang for stairs,楼梯,一つ一つのオブジェクトが比較可能ではないため、無関係なものを比較すること
226,apples to oranges,comparing two things that are completely different and cannot be compared,不可比较的事物,比較が不適切なもの同士を比較すること
227,are your ears burning?,"to have a strong feeling or intuition that someone is talking about you, often in a negative or gossiping way",有人在背后议论你,あなたの耳は燃えているのですか？
228,argue the toss,to argue stubbornly or excessively about something trivial or insignificant,争辩细节或无关紧要的问题,些細なことでも議論したり論争したりすること
229,arm in arm,"walking closely together, often with linked arms",手挽手地,腕を組んで歩く
230,armchair critic,someone who offers opinions or criticism from a position of little or no practical experience or involvement,只坐在安逸的地方批评他人，而不亲自参与或尝试,安楽な場所から批判する人
231,armed to the teeth,"being heavily armed or well-equipped, often to an excessive or extreme degree",全副武装,十分に武装している; とても武装している
232,around the clock,continuously; without stopping; all the time,日日夜夜地、不间断地进行某项工作或活动,昼夜問わず、24時間体制で
233,arrow in the quiver,an additional resource or option available for future use,预先准备好的计划或手段,秘密の武器、特別な能力、特別な資源
234,arse about face,to do something in a completely disorganized or backwards manner,背道而驰,逆さまに、全く逆様になる
235,art is long and life is short,"the time we have in life is limited, but the impact of great works of art can last forever",艺术是无限长久的，而生命则短暂有限,芸術は永遠で人生は短い
236,as a rule,in general; typically; usually,通常情况下，一般来说,通常は
237,as and when,at the appropriate or necessary time or occasions,根据需要；随时随地,必要に応じて
238,as bald as a coot,completely bald,非常秃头的人,頭がハゲている
239,as bald as a cue ball,completely bald; having no hair at all,非常秃头的意思,非常にはげている、頭をどん光る
240,as blind as a bat,to have extremely poor eyesight,非常盲目或视力不好,まったく目が見えない、視力が非常に悪い
241,as busy as a bee,"to be very busy, working quickly and energetically",非常忙碌,蜂のように忙しい
242,as easy as pie,extremely easy or simple,非常容易,非常に簡単なこと
243,as gentle as a lamb,"to be very calm, kind, or gentle",温顺如羔羊,子羊のように優しく
244,as good as new,restored to its original condition; in excellent or like-new condition,几乎和新的一样，完全恢复到原来的状态,新品同様の状態で
245,as happy as a clam,to be very happy or content,非常开心,非常に幸せな状態である
246,as high as a kite,to be very intoxicated or under the influence of drugs,非常兴奋或兴奋的状态,（酒や薬の影響で）とても興奮した、陽気な、意識がはっきりしない
247,as keen as mustard,to be very enthusiastic or eager about something,非常热衷、充满热情,非常に熱心な; 熱心すぎる
248,as luck would have it,by chance or fortunate circumstances,碰巧的是；恰巧,運が良ければ
249,as mad as a hatter,to be crazy or insane,疯疯癫癫的，疯狂的,（人）がとても狂っている
250,as nice as ninepence,to be very well-behaved or polite,非常整洁或有序的,とてもきちんとしている、礼儀正しい、几帳面な
251,as one man,"""all together"" or ""unanimously""",全体一致，一致行动,一斉に、まるで一つの人間のように
252,as patient as Job,"to be extremely patient or enduring, referencing the biblical figure Job who remained steadfast and patient despite facing numerous challenges and hardships",像约伯一样耐心,忍耐力が非常に強い、極めて辛抱強い
